Rank,Global Rank,Institution,Country,Sector,Best Country Quartile
396,6534,Utah Valley University,USA,Universities,3
397,6560,Naval Postgraduate School,USA,Universities,3
398,6563,"Southern University, Baton Rouge",USA,Universities,3
399,6576,Monmouth University,USA,Universities,3
400,6594,"University of Wisconsin, Stevens Point",USA,Universities,3
401,6603,Texas Christian University,USA,Universities,3
402,6635,Union College,USA,Universities,3
403,6643,AT Still University,USA,Universities,3
404,6645,University of San Diego,USA,Universities,3
405,6650,Belmont University,USA,Universities,3
406,6660,"California State University, San Marcos",USA,Universities,3
407,6669,Oberlin College,USA,Universities,4
408,6673,Illinois State University,USA,Universities,3
409,6684,"University of Wisconsin, Whitewater",USA,Universities,3
410,6708,James Madison University,USA,Universities,2
411,6714,United States Military Academy at West Point,USA,Universities,2
412,6722,Lafayette College,USA,Universities,3
413,6745,"California State University, Dominguez Hills",USA,Universities,3
414,6748,Davidson College,USA,Universities,3
415,6758,Smith College,USA,Universities,3
416,6759,Valparaiso University,USA,Universities,3
417,6785,Bard College,USA,Universities,3
418,6788,Towson University,USA,Universities,3
419,6812,Vassar College,USA,Universities,3
420,6820,Yeshiva University,USA,Universities,3
421,6851,Geisinger Commonwealth School of Medicine,USA,Universities,3
422,6854,Loyola Marymount University,USA,Universities,3
423,6865,Middlebury College,USA,Universities,3
424,6870,Claremont McKenna College,USA,Universities,4
425,6890,Idaho State University *,USA,Universities,3
426,6900,"Texas A&M University, Kingsville",USA,Universities,3
427,6910,"Louisiana State University, Shreveport",USA,Universities,3
428,6913,Providence College,USA,Universities,3
429,6935,West Texas A&M University,USA,Universities,3
430,6947,Rocky Vista University,USA,Universities,3
431,6992,Walden University,USA,Universities,2
432,7000,Xavier University,USA,Universities,2
433,7020,University of Richmond,USA,Universities,3
433,7020,Mount Holyoke College,USA,Universities,4
435,7028,Grand Valley State University,USA,Universities,3
435,7028,Campbell University,USA,Universities,4
437,7038,Franklin & Marshall College,USA,Universities,3
438,7044,"California State University, East Bay",USA,Universities,3
439,7065,Tarleton State University,USA,Universities,3
440,7086,The College of New Jersey,USA,Universities,3
441,7093,Indiana University - Purdue University at Fort Wayne,USA,Universities,3
442,7119,Purdue University Northwest,USA,Universities,4
443,7125,"California State University, San Bernardino",USA,Universities,3
444,7136,University of Southern Maine,USA,Universities,3
445,7160,Florida Gulf Coast University,USA,Universities,3
446,7164,Bates College,USA,Universities,4
446,7164,Macalester College,USA,Universities,3
448,7179,"California State University, Monterey Bay",USA,Universities,3
449,7206,High Point University,USA,Universities,3
